T,K,Z,B,E,bpe,N,write_time,num_writes,non_empty_read_time,num_non_empty_reads,empty_read_time,num_empty_reads
2,1,1,524288.0,1024,5.0,100000,1388409,5000,-1,0,-1,0
4,1,1,524288.0,1024,5.0,100000,1388523,5000,-1,0,-1,0
6,1,1,524288.0,1024,5.0,100000,1091219,5000,-1,0,-1,0
8,1,1,524288.0,1024,5.0,100000,1679554,5000,-1,0,-1,0
10,1,1,524288.0,1024,5.0,100000,1516746,5000,-1,0,-1,0
12,1,1,524288.0,1024,5.0,100000,2324051,5000,-1,0,-1,0
16,1,1,524288.0,1024,5.0,100000,897489,5000,-1,0,-1,0
24,1,1,524288.0,1024,5.0,100000,1645427,5000,-1,0,-1,0
32,1,1,524288.0,1024,5.0,100000,2829966,5000,-1,0,-1,0
50,1,1,524288.0,1024,5.0,100000,5758521,5000,-1,0,-1,0
64,1,1,524288.0,1024,5.0,100000,9633925,5000,-1,0,-1,0
100,1,1,524288.0,1024,5.0,100000,23907950,5000,-1,0,-1,0
